MCS_value, Channel_width_MHz,  short_GI, Throughput_Mbits_per_s,  Distance_m,Protocol
3,		40 , 		1,		49.0942 , 		8,tcp
4,		20 , 		0,		32.2661 , 		8,tcp
4,		20 , 		1,		35.9556 , 		8,tcp
4,		40 , 		0,		66.7204 , 		8,tcp
4,		40 , 		1,		73.1506 , 		8,tcp
5,		20 , 		0,		43.3925 , 		8,tcp
5,		20 , 		1,		48.9424 , 		8,tcp
5,		40 , 		0,		87.597 , 		8,tcp
5,		40 , 		1,		96.4542 , 		8,tcp
6,		20 , 		0,		49.1961 , 		8,tcp
6,		20 , 		1,		51.5893 , 		8,tcp
6,		40 , 		0,		97.2234 , 		8,tcp
6,		40 , 		1,		106.171 , 		8,tcp
7,		20 , 		0,		54.724 , 		8,tcp
7,		20 , 		1,		59.6703 , 		8,tcp
7,		40 , 		0,		106.803 , 		8,tcp
7,		40 , 		1,		117.727 , 		8,tcp
0,		20 , 		0,		5.33096 , 		9,tcp
0,		20 , 		1,		5.90205 , 		9,tcp
0,		40 , 		0,		11.1415 , 		9,tcp
0,		40 , 		1,		12.4262 , 		9,tcp
1,		20 , 		0,		10.7731 , 		9,tcp
1,		20 , 		1,		11.8956 , 		9,tcp
1,		40 , 		0,		22.305 , 		9,tcp
1,		40 , 		1,		24.6276 , 		9,tcp
2,		20 , 		0,		16.1041 , 		9,tcp
2,		20 , 		1,		18.151 , 		9,tcp
2,		40 , 		0,		33.2414 , 		9,tcp
2,		40 , 		1,		37.2159 , 		9,tcp
3,		20 , 		0,		21.4292 , 		9,tcp
3,		20 , 		1,		23.7646 , 		9,tcp
3,		40 , 		0,		45.2378 , 		9,tcp
3,		40 , 		1,		49.9155 , 		9,tcp
4,		20 , 		0,		32.6495 , 		9,tcp
4,		20 , 		1,		35.7193 , 		9,tcp
4,		40 , 		0,		66.3091 , 		9,tcp
4,		40 , 		1,		74.0403 , 		9,tcp
5,		20 , 		0,		42.9523 , 		9,tcp
5,		20 , 		1,		48.1941 , 		9,tcp
5,		40 , 		0,		87.2796 , 		9,tcp
5,		40 , 		1,		97.0264 , 		9,tcp
6,		20 , 		0,		48.3053 , 		9,tcp
6,		20 , 		1,		53.5656 , 		9,tcp
6,		40 , 		0,		97.1121 , 		9,tcp
6,		40 , 		1,		106.604 , 		9,tcp
7,		20 , 		0,		53.8969 , 		9,tcp
7,		20 , 		1,		59.2823 , 		9,tcp
7,		40 , 		0,		107.105 , 		9,tcp
7,		40 , 		1,		118.056 , 		9,tcp
0,		20 , 		0,		5.29968 , 		10,tcp
0,		20 , 		1,		5.94259 , 		10,tcp
0,		40 , 		0,		11.0419 , 		10,tcp
0,		40 , 		1,		12.4876 , 		10,tcp
1,		20 , 		0,		10.6167 , 		10,tcp
1,		20 , 		1,		11.8053 , 		10,tcp
1,		40 , 		0,		22.2783 , 		10,tcp
1,		40 , 		1,		24.7203 , 		10,tcp
2,		20 , 		0,		16.1701 , 		10,tcp
2,		20 , 		1,		17.91 , 		10,tcp
2,		40 , 		0,		33.4581 , 		10,tcp
2,		40 , 		1,		37.4036 , 		10,tcp
3,		20 , 		0,		21.5474 , 		10,tcp
3,		20 , 		1,		23.7402 , 		10,tcp
3,		40 , 		0,		45.1359 , 		10,tcp
3,		40 , 		1,		49.7753 , 		10,tcp
4,		20 , 		0,		32.5093 , 		10,tcp
4,		20 , 		1,		35.8722 , 		10,tcp
4,		40 , 		0,		66.7679 , 		10,tcp
4,		40 , 		1,		74.1874 , 		10,tcp
5,		20 , 		0,		43.433 , 		10,tcp
5,		20 , 		1,		47.9531 , 		10,tcp
5,		40 , 		0,		87.8403 , 		10,tcp
5,		40 , 		1,		96.6685 , 		10,tcp
6,		20 , 		0,		48.5752 , 		10,tcp
6,		20 , 		1,		53.7254 , 		10,tcp
6,		40 , 		0,		97.7585 , 		10,tcp
6,		40 , 		1,		106.613 , 		10,tcp
7,		20 , 		0,		53.4405 , 		10,tcp
7,		20 , 		1,		59.7537 , 		10,tcp
7,		40 , 		0,		107.438 , 		10,tcp
7,		40 , 		1,		118.246 , 		10,tcp
0,		20 , 		0,		5.38308 , 		11,tcp
0,		20 , 		1,		5.91132 , 		11,tcp
0,		40 , 		0,		11.2249 , 		11,tcp
0,		40 , 		1,		12.337 , 		11,tcp
1,		20 , 		0,		10.6503 , 		11,tcp
1,		20 , 		1,		11.7311 , 		11,tcp
1,		40 , 		0,		22.1463 , 		11,tcp
1,		40 , 		1,		24.9369 , 		11,tcp
2,		20 , 		0,		16.2257 , 		11,tcp
2,		20 , 		1,		17.7861 , 		11,tcp
2,		40 , 		0,		32.9692 , 		11,tcp
2,		40 , 		1,		37.2912 , 		11,tcp
3,		20 , 		0,		21.4756 , 		11,tcp
3,		20 , 		1,		23.841 , 		11,tcp
3,		40 , 		0,		45.0015 , 		11,tcp
3,		40 , 		1,		49.3316 , 		11,tcp
4,		20 , 		0,		32.1074 , 		11,tcp
4,		20 , 		1,		35.6961 , 		11,tcp
4,		40 , 		0,		66.7273 , 		11,tcp
4,		40 , 		1,		74.2581 , 		11,tcp
5,		20 , 		0,		43.2547 , 		11,tcp
5,		20 , 		1,		48.647 , 		11,tcp
5,		40 , 		0,		86.8151 , 		11,tcp
5,		40 , 		1,		95.9422 , 		11,tcp
6,		20 , 		0,		48.7443 , 		11,tcp
6,		20 , 		1,		54.1888 , 		11,tcp
6,		40 , 		0,		97.5709 , 		11,tcp
6,		40 , 		1,		106.565 , 		11,tcp
7,		20 , 		0,		53.6432 , 		11,tcp
7,		20 , 		1,		59.0112 , 		11,tcp
7,		40 , 		0,		106.751 , 		11,tcp
7,		40 , 		1,		118.267 , 		11,tcp
0,		20 , 		0,		5.40162 , 		12,tcp
0,		20 , 		1,		5.94491 , 		12,tcp
0,		40 , 		0,		11.1832 , 		12,tcp
0,		40 , 		1,		12.2976 , 		12,tcp
1,		20 , 		0,		10.6886 , 		12,tcp
1,		20 , 		1,		11.9628 , 		12,tcp
1,		40 , 		0,		22.6363 , 		12,tcp
1,		40 , 		1,		25.0863 , 		12,tcp
2,		20 , 		0,		16.1585 , 		12,tcp
2,		20 , 		1,		17.9737 , 		12,tcp
2,		40 , 		0,		33.2808 , 		12,tcp
2,		40 , 		1,		37.8368 , 		12,tcp
3,		20 , 		0,		21.2057 , 		12,tcp
3,		20 , 		1,		23.782 , 		12,tcp
3,		40 , 		0,		44.9355 , 		12,tcp
3,		40 , 		1,		50.2259 , 		12,tcp
4,		20 , 		0,		32.2475 , 		12,tcp
4,		20 , 		1,		35.9116 , 		12,tcp
4,		40 , 		0,		66.264 , 		12,tcp
4,		40 , 		1,		73.7183 , 		12,tcp
5,		20 , 		0,		43.4493 , 		12,tcp
5,		20 , 		1,		47.5234 , 		12,tcp
5,		40 , 		0,		87.1395 , 		12,tcp
5,		40 , 		1,		95.2135 , 		12,tcp
6,		20 , 		0,		48.1026 , 		12,tcp
6,		20 , 		1,		53.7648 , 		12,tcp
6,		40 , 		0,		97.4226 , 		12,tcp
6,		40 , 		1,		106.675 , 		12,tcp
7,		20 , 		0,		53.51 , 		12,tcp
7,		20 , 		1,		59.3634 , 		12,tcp
7,		40 , 		0,		107.618 , 		12,tcp
7,		40 , 		1,		118.329 , 		12,tcp
0,		20 , 		0,		5.37961 , 		13,tcp
0,		20 , 		1,		5.93912 , 		13,tcp
0,		40 , 		0,		11.0488 , 		13,tcp
0,		40 , 		1,		12.3485 , 		13,tcp
1,		20 , 		0,		10.6735 , 		13,tcp
1,		20 , 		1,		11.7045 , 		13,tcp
1,		40 , 		0,		22.2494 , 		13,tcp
1,		40 , 		1,		24.6496 , 		13,tcp
2,		20 , 		0,		16.2269 , 		13,tcp
2,		20 , 		1,		18.0108 , 		13,tcp
2,		40 , 		0,		33.6619 , 		13,tcp
2,		40 , 		1,		37.3966 , 		13,tcp
3,		20 , 		0,		21.4918 , 		13,tcp
3,		20 , 		1,		23.797 , 		13,tcp
3,		40 , 		0,		45.049 , 		13,tcp
3,		40 , 		1,		49.9606 , 		13,tcp
4,		20 , 		0,		31.8328 , 		13,tcp
4,		20 , 		1,		36.0552 , 		13,tcp
4,		40 , 		0,		66.6845 , 		13,tcp
4,		40 , 		1,		73.5155 , 		13,tcp
5,		20 , 		0,		43.301 , 		13,tcp
5,		20 , 		1,		48.5682 , 		13,tcp
5,		40 , 		0,		87.7384 , 		13,tcp
5,		40 , 		1,		96.0383 , 		13,tcp
6,		20 , 		0,		48.6319 , 		13,tcp
6,		20 , 		1,		54.0243 , 		13,tcp
6,		40 , 		0,		97.1481 , 		13,tcp
6,		40 , 		1,		107.027 , 		13,tcp
7,		20 , 		0,		54.1425 , 		13,tcp
7,		20 , 		1,		59.5001 , 		13,tcp
7,		40 , 		0,		106.542 , 		13,tcp
7,		40 , 		1,		117.996 , 		13,tcp
0,		20 , 		0,		5.24755 , 		14,tcp
0,		20 , 		1,		5.92406 , 		14,tcp
0,		40 , 		0,		11.0013 , 		14,tcp
0,		40 , 		1,		12.3694 , 		14,tcp
1,		20 , 		0,		10.7222 , 		14,tcp
1,		20 , 		1,		11.8203 , 		14,tcp
1,		40 , 		0,		22.1683 , 		14,tcp
1,		40 , 		1,		24.9137 , 		14,tcp
2,		20 , 		0,		16.0427 , 		14,tcp
2,		20 , 		1,		17.7432 , 		14,tcp
2,		40 , 		0,		33.7511 , 		14,tcp
2,		40 , 		1,		37.1487 , 		14,tcp
3,		20 , 		0,		21.8532 , 		14,tcp
3,		20 , 		1,		24.1202 , 		14,tcp
3,		40 , 		0,		44.9251 , 		14,tcp
3,		40 , 		1,		50.2861 , 		14,tcp
4,		20 , 		0,		32.6808 , 		14,tcp
4,		20 , 		1,		35.6613 , 		14,tcp
4,		40 , 		0,		65.6732 , 		14,tcp
4,		40 , 		1,		73.1367 , 		14,tcp
5,		20 , 		0,		42.921 , 		14,tcp
5,		20 , 		1,		47.5396 , 		14,tcp
5,		40 , 		0,		86.3923 , 		14,tcp
5,		40 , 		1,		96.1785 , 		14,tcp
6,		20 , 		0,		48.5567 , 		14,tcp
6,		20 , 		1,		53.92 , 		14,tcp
6,		40 , 		0,		96.9025 , 		14,tcp
6,		40 , 		1,		107.15 , 		14,tcp
7,		20 , 		0,		53.4636 , 		14,tcp
7,		20 , 		1,		59.2 , 		14,tcp
7,		40 , 		0,		107.111 , 		14,tcp
7,		40 , 		1,		117.565 , 		14,tcp
0,		20 , 		0,		5.42015 , 		15,tcp
0,		20 , 		1,		5.8951 , 		15,tcp
0,		40 , 		0,		11.0257 , 		15,tcp
0,		40 , 		1,		12.286 , 		15,tcp
1,		20 , 		0,		10.7279 , 		15,tcp
1,		20 , 		1,		11.8817 , 		15,tcp
1,		40 , 		0,		22.0617 , 		15,tcp
1,		40 , 		1,		24.6369 , 		15,tcp
2,		20 , 		0,		16.0832 , 		15,tcp
2,		20 , 		1,		17.7397 , 		15,tcp
2,		40 , 		0,		33.4025 , 		15,tcp
2,		40 , 		1,		37.7013 , 		15,tcp
3,		20 , 		0,		21.2543 , 		15,tcp
3,		20 , 		1,		24.0113 , 		15,tcp
3,		40 , 		0,		45.3409 , 		15,tcp
3,		40 , 		1,		50.5109 , 		15,tcp
4,		20 , 		0,		32.3101 , 		15,tcp
4,		20 , 		1,		35.732 , 		15,tcp
4,		40 , 		0,		65.8075 , 		15,tcp
4,		40 , 		1,		73.6175 , 		15,tcp
5,		20 , 		0,		43.0844 , 		15,tcp
5,		20 , 		1,		48.179 , 		15,tcp
5,		40 , 		0,		86.7433 , 		15,tcp
5,		40 , 		1,		96.7287 , 		15,tcp
6,		20 , 		0,		48.9343 , 		15,tcp
6,		20 , 		1,		53.4613 , 		15,tcp
6,		40 , 		0,		97.1967 , 		15,tcp
6,		40 , 		1,		106.713 , 		15,tcp
7,		20 , 		0,		53.7567 , 		15,tcp
7,		20 , 		1,		59.5464 , 		15,tcp
7,		40 , 		0,		106.269 , 		15,tcp
7,		40 , 		1,		118.324 , 		15,tcp
0,		20 , 		0,		5.30895 , 		16,tcp
0,		20 , 		1,		5.85224 , 		16,tcp
0,		40 , 		0,		11.0361 , 		16,tcp
0,		40 , 		1,		12.3022 , 		16,tcp
1,		20 , 		0,		10.8125 , 		16,tcp
1,		20 , 		1,		11.9605 , 		16,tcp
1,		40 , 		0,		22.3606 , 		16,tcp
1,		40 , 		1,		25.0458 , 		16,tcp
2,		20 , 		0,		16.2106 , 		16,tcp
2,		20 , 		1,		17.9008 , 		16,tcp
2,		40 , 		0,		33.6446 , 		16,tcp
2,		40 , 		1,		37.209 , 		16,tcp
3,		20 , 		0,		21.4987 , 		16,tcp
3,		20 , 		1,		23.7623 , 		16,tcp
3,		40 , 		0,		45.3548 , 		16,tcp
3,		40 , 		1,		50.307 , 		16,tcp
4,		20 , 		0,		31.966 , 		16,tcp
4,		20 , 		1,		35.9753 , 		16,tcp
4,		40 , 		0,		66.9439 , 		16,tcp
4,		40 , 		1,		73.2954 , 		16,tcp
5,		20 , 		0,		43.3624 , 		16,tcp
5,		20 , 		1,		48.0377 , 		16,tcp
5,		40 , 		0,		86.8812 , 		16,tcp
5,		40 , 		1,		96.0151 , 		16,tcp
6,		20 , 		0,		48.2254 , 		16,tcp
6,		20 , 		1,		53.4787 , 		16,tcp
6,		40 , 		0,		98.2926 , 		16,tcp
6,		40 , 		1,		107.713 , 		16,tcp
